City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
142,Greenville,US,clear sky,89.01,35.61,-77.37,Holiday Inn Express Greenville
143,Kruisfontein,ZA,broken clouds,52.66,-34.0,24.73,Oyster Bay House Rental
144,Plerin,FR,scattered clouds,69.01,48.54,-2.78,Best Western Hotel Le Duguesclin
145,Raudeberg,NO,light rain,52.0,61.99,5.14,Nordre Silda.
146,Cabo San Lucas,MX,few clouds,88.0,22.89,-109.91,Hotel Tesoro Los Cabos
147,Kahului,US,few clouds,78.8,20.89,-156.47,Maui Seaside Hotel
148,Constantine,DZ,thunderstorm,96.8,36.37,6.61,Grand Hotel Cirta
149,Klaksvik,FO,scattered clouds,51.8,62.23,-6.59,Airbnb rooms
150,Baruun-Urt,MN,scattered clouds,69.01,46.68,113.28,Ахмадын амралт сувилал
151,Novyy Buyan,RU,clear sky,78.8,53.69,50.05,"Ekoferma ""Zolotaya Podkova"""
152,Richards Bay,ZA,overcast clouds,62.29,-28.78,32.04,BON Hotel Waterfront Richards Bay
153,Pevek,RU,overcast clouds,48.74,69.7,170.31,Severnoye Zoloto
154,Senno,RU,overcast clouds,71.53,59.53,33.92,
155,Yaan,NG,light rain,79.05,7.38,8.57,
156,Demba,CD,overcast clouds,92.34,-5.51,22.27,
157,Honiara,SB,broken clouds,73.4,-9.43,159.95,Heritage Park Hotel
158,Butaritari,KI,light rain,82.42,3.07,172.79,Isles Sunset Lodge
159,Konevo,RU,light rain,59.41,62.12,39.32,
160,Sinnamary,GF,light rain,83.59,5.38,-52.95,ALETHEIA Appartement Sinnamary
161,Yanam,IN,broken clouds,84.2,16.73,82.22,The Regency Hotel
162,Codrington,AU,light rain,47.01,-38.27,141.97,Codrington Gardens Bed And Breakfast
163,Aswan,EG,clear sky,105.01,24.09,32.91,Nuba Nile
164,Sidi Ali,DZ,clear sky,83.28,36.1,0.42,
165,Chenghai,CN,clear sky,84.2,23.46,116.77,Guangdong Hotel
166,Kenai,US,scattered clouds,53.6,60.55,-151.26,Aspen Extended Stay Suites
167,Akyab,MM,moderate rain,82.53,20.15,92.9,Hotel Memory
168,San Juan,AR,broken clouds,56.19,-31.54,-68.54,Hotel Provincial
169,Holliston,US,light rain,86.0,42.2,-71.42,The Fields At Sherborn
170,Mancio Lima,BR,few clouds,77.0,-7.61,-72.9,Hotel e Distribuidora Voyage
171,Kirakira,SB,overcast clouds,77.92,-10.45,161.92,SanBiz Lodge
172,Quipot,PH,overcast clouds,80.01,13.93,121.32,Pedina Hotel
173,Kaliua,TZ,overcast clouds,83.43,-5.06,31.79,Millennium Complex
174,Qaanaaq,GL,overcast clouds,44.64,77.48,-69.36,Qaanaaq Hotel
175,Sistranda,NO,shower rain,53.6,63.73,8.83,Hotell Frøya
176,Leua,SK,moderate rain,68.0,48.22,18.61,Business Hotel ASTRUM Laus
177,Aklavik,CA,scattered clouds,48.2,68.22,-135.01,Aklavik Inn
178,Ponorogo,ID,clear sky,73.96,-7.87,111.46,OYO 1190 Ndalem Katong Residence
179,Letterkenny,IE,overcast clouds,62.6,54.95,-7.73,Mount Errigal Hotel
180,Rajapur,IN,light rain,92.59,25.38,81.15,Sahu Ji Galla Mills
181,Belaya Gora,RU,broken clouds,58.95,68.53,146.42,
182,Aberystwyth,GB,clear sky,64.0,52.42,-4.08,Aberystwyth Park Lodge Hotel
183,Christchurch,NZ,clear sky,39.2,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
184,Castries,LC,scattered clouds,86.0,14.0,-61.01,Marigot Beach Club & Dive Resort
185,Tiksi,RU,light rain,48.49,71.69,128.87,Arktika
186,Batagay,RU,broken clouds,63.37,67.63,134.63,
187,Bubaque,GW,moderate rain,79.2,11.28,-15.83,Casa Dora
188,Bilibino,RU,light rain,57.81,68.05,166.44,Gostinitsa Severyanka
189,Cabedelo,BR,overcast clouds,80.6,-6.98,-34.83,Lua Mansa Pousada
190,Itarema,BR,scattered clouds,85.48,-2.92,-39.92,Windvillage
191,Callaguip,PH,broken clouds,82.85,18.07,120.49,Pangil Beach Resort
192,Viedma,AR,overcast clouds,48.83,-40.81,-63.0,Hotel Cristal
193,Faanui,PF,scattered clouds,77.58,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,South Lake Tahoe,US,clear sky,71.01,38.93,-119.98,Tahoe Lakeshore Lodge & Spa
195,Palmer,US,broken clouds,84.99,42.16,-72.33,Wedgewood Motel
196,Khasan,RU,overcast clouds,61.09,42.43,130.64,Krako Motorkár
197,Talas,TR,few clouds,86.0,38.69,35.55,Fimaj Residence
198,Buala,SB,overcast clouds,81.25,-8.14,159.59,Maringe Lagoon Lodge
199,Zhanaozen,KZ,scattered clouds,98.35,43.3,52.8,K.korabay 28A
200,Ust-Omchug,RU,clear sky,51.42,61.15,149.63,
201,Saldanha,ZA,clear sky,59.0,-33.01,17.94,Blue Bay Lodge
202,Xingyi,CN,overcast clouds,62.28,24.19,102.82,
203,Boyolangu,ID,broken clouds,75.16,-8.12,111.89,Yos ega cv
204,Buchanan,LR,broken clouds,78.8,5.88,-10.05,Kamaneahn Hotel Inc
205,Lorengau,PG,light rain,81.5,-2.02,147.27,Lorengau Harbourside Hotel
206,Boddam,GB,few clouds,64.0,57.47,-1.78,Palace Hotel
207,Carauari,BR,clear sky,89.78,-4.88,-66.9,Pousada Lobo
208,Castlebar,IE,broken clouds,59.0,53.85,-9.3,The Ellison
209,Chuy,UY,clear sky,49.51,-33.7,-53.46,Nuevo Hotel Plaza
210,East London,ZA,light rain,60.8,-33.02,27.91,Tu Casa
211,Torbay,CA,scattered clouds,64.99,47.67,-52.73,Gallows Cove
212,Victoria,HK,broken clouds,86.0,22.29,114.16,Mini Hotel Central
